CATEGORÍA,TIPO DE GRAFO,PESO_ESPACIAL,PESO_NODE2VEC,ACC,STD,NUMERO PARES
Car,k-NN(k=1),0.7,0.3,0.7233333333333334,0.3223617440347009,780
Car,k-NN(k=1),0.5,0.5,0.725,0.3194998093976399,780
Car,k-NN(k=3),0.7,0.3,0.7234615384615384,0.32021758197007444,780
Car,k-NN(k=3),0.5,0.5,0.7265384615384616,0.3188534223290797,780
Car,k-NN(k=5),0.7,0.3,0.7248717948717949,0.32053138407779935,780
Car,k-NN(k=5),0.5,0.5,0.7271794871794872,0.31873909206433,780
Car,k-NN(k=7),0.7,0.3,0.7223076923076923,0.3211195283368639,780
Car,k-NN(k=7),0.5,0.5,0.7257692307692308,0.3206804433475202,780
Duck,k-NN(k=1),0.7,0.3,0.7741224489795918,0.3045366927828983,1225
Duck,k-NN(k=1),0.5,0.5,0.7729795918367347,0.30475902088042717,1225
Duck,k-NN(k=3),0.7,0.3,0.7741224489795918,0.3040806574426219,1225
Duck,k-NN(k=3),0.5,0.5,0.7749387755102041,0.3041490241717423,1225
Duck,k-NN(k=5),0.7,0.3,0.7740408163265307,0.3043286327333898,1225
Duck,k-NN(k=5),0.5,0.5,0.7747755102040815,0.30394758310899744,1225
Duck,k-NN(k=7),0.7,0.3,0.7728163265306123,0.30436924899444817,1225
Duck,k-NN(k=7),0.5,0.5,0.773469387755102,0.3040243748311341,1225
Face,k-NN(k=1),0.7,0.3,0.8732883112470269,0.18184906989828176,5886
Face,k-NN(k=1),0.5,0.5,0.8727404009514101,0.18374233745567586,5886
Face,k-NN(k=3),0.7,0.3,0.8733010533469249,0.18074839253011463,5886
Face,k-NN(k=3),0.5,0.5,0.8760788311247028,0.18038385912572213,5886
Face,k-NN(k=5),0.7,0.3,0.8716955487597688,0.18226776724864968,5886
Face,k-NN(k=5),0.5,0.5,0.8754502208630648,0.17977387773058223,5886
Face,k-NN(k=7),0.7,0.3,0.8713175331294598,0.1822118685976929,5886
Face,k-NN(k=7),0.5,0.5,0.8712368331634387,0.18261565852483486,5886
Motorbike,k-NN(k=1),0.7,0.3,0.8843589743589743,0.19151614877073345,780
Motorbike,k-NN(k=1),0.5,0.5,0.8856410256410258,0.18959869727718193,780
Motorbike,k-NN(k=3),0.7,0.3,0.8874358974358975,0.1892524829457138,780
Motorbike,k-NN(k=3),0.5,0.5,0.8885897435897436,0.18779574528217646,780
Motorbike,k-NN(k=5),0.7,0.3,0.8865384615384615,0.1887497795758735,780
Motorbike,k-NN(k=5),0.5,0.5,0.8894871794871795,0.18767741989434572,780
Motorbike,k-NN(k=7),0.7,0.3,0.8844871794871796,0.1912251152632136,780
Motorbike,k-NN(k=7),0.5,0.5,0.8846153846153846,0.19086639378406595,780
Winebottle,k-NN(k=1),0.7,0.3,0.9231701631701632,0.16691139546159933,2145
Winebottle,k-NN(k=1),0.5,0.5,0.9212587412587412,0.1724235601706219,2145
Winebottle,k-NN(k=3),0.7,0.3,0.9221911421911422,0.1689729039004229,2145
Winebottle,k-NN(k=3),0.5,0.5,0.9228438228438228,0.1677503037847762,2145
Winebottle,k-NN(k=5),0.7,0.3,0.924895104895105,0.16597610044851002,2145
Winebottle,k-NN(k=5),0.5,0.5,0.9226107226107226,0.1705515254170673,2145
Winebottle,k-NN(k=7),0.7,0.3,0.9226573426573427,0.16929698756484987,2145
Winebottle,k-NN(k=7),0.5,0.5,0.9218181818181818,0.16896629240114663,2145
