CATEGORÍA,TIPO DE GRAFO,PESO_ESPACIAL,PESO_NODE2VEC,ACC,STD,NUMERO PARES
Car,Delaunay,0.7,0.3,0.725641,0.321549,780
Car,Delaunay,0.5,0.5,0.73,0.320332,780
Car,k-NN (k=3),0.7,0.3,0.7238461538461537,0.3202091895141513,780
Car,k-NN (k=3),0.5,0.5,0.7252653061224489,0.3206911298881755,780
Car,k-NN (k=5),0.7,0.3,0.7265384615384616,0.3192150907487547,780
Car,k-NN (k=5),0.5,0.5,0.7260256410256409,0.3194580336131394,780
Car,k-NN (k=7),0.7,0.3,0.7237179487179487,0.32187594749418513,780
Car,k-NN (k=7),0.5,0.5,0.7215384615384615,0.3208924930727636,780
Duck,Delaunay,0.7,0.3,0.773388,0.304326,1225
Duck,Delaunay,0.5,0.5,0.774122,0.303436,1225
Duck,k-NN (k=3),0.7,0.3,0.7736326530612244,0.3040654262220115,1225
Duck,k-NN (k=3),0.5,0.5,0.775265306122449,0.30353097380933136,1225
Duck,k-NN (k=5),0.7,0.3,0.7736326530612245,0.30414595676321304,1225
Duck,k-NN (k=5),0.5,0.5,0.7752653061224489,0.30412207373867217,1225
Duck,k-NN (k=7),0.7,0.3,0.7725714285714286,0.3045215719043596,1225
Duck,k-NN (k=7),0.5,0.5,0.7742857142857142,0.30323426654677943,1225
Face,Delaunay,0.7,0.3,0.873271,0.18068,5886
Face,Delaunay,0.5,0.5,0.875437,0.180111,5886
Face,k-NN (k=3),0.7,0.3,0.8742354740061162,0.18117429916815922,5886
Face,k-NN (k=3),0.5,0.5,0.8775696568127761,0.17828181395953754,5886
Face,k-NN (k=5),0.7,0.3,0.8718951749915054,0.18192870043684262,5886
Face,k-NN (k=5),0.5,0.5,0.8746007475365273,0.1794961762676802,5886
Face,k-NN (k=7),0.7,0.3,0.8700985389058784,0.18391211246596736,5886
Face,k-NN (k=7),0.5,0.5,0.8710074753652736,0.18240773931607063,5886
Motorbike,Delaunay,0.7,0.3,0.884872,0.191155,780
Motorbike,Delaunay,0.5,0.5,0.886154,0.189095,780
Motorbike,k-NN (k=3),0.7,0.3,0.8855128205128205,0.18989300250334928,780
Motorbike,k-NN (k=3),0.5,0.5,0.8880769230769231,0.1877638839982873,780
Motorbike,k-NN (k=5),0.7,0.3,0.8855128205128205,0.19002798333671564,780
Motorbike,k-NN (k=5),0.5,0.5,0.8869230769230768,0.18901436448131695,780
Motorbike,k-NN (k=7),0.7,0.3,0.8841025641025643,0.1914950350660921,780
Motorbike,k-NN (k=7),0.5,0.5,0.8855128205128205,0.1898254760934264,780
Winebottle,Delaunay,0.7,0.3,0.921399,0.16862,2145
Winebottle,Delaunay,0.5,0.5,0.921212,0.16936,2145
Winebottle,k-NN (k=3),0.7,0.3,0.9234498834498834,0.16801386176367014,2145
Winebottle,k-NN (k=3),0.5,0.5,0.9222377622377622,0.1704912123613071,2145
Winebottle,k-NN (k=5),0.7,0.3,0.9236363636363636,0.1673203540183565,2145
Winebottle,k-NN (k=5),0.5,0.5,0.9246153846153847,0.16722095385746744,2145
Winebottle,k-NN (k=7),0.7,0.3,0.9221911421911422,0.16866913810764983,2145
Winebottle,k-NN (k=7),0.5,0.5,0.9203729603729603,0.16794341042651362,2145
